Review,Rating
"Best in the segment....strong build quality even it is plastic made.....4 gb ram a bit sluggish because amd processor is damn good for it to use resources but chrome is a Ram- hungry devil ...
Replace chrome with opera and install 8 gb of 2400 Mhz ram from crucial.....install additional ram will boost it ....go for it..if u want premium looks and best performance 😍😍",5
"Ifter 5 days of use .... Taking time to boot up , performance is ok ok , rest all good ....",3
Only design is good in this laptop others things are worst the performance is very slow its taking too much time to open apps and it is hanging too much .and battery is also dropping very fast. I got very bad experience in this laptop.this is not value for money.,3
"Good Entry Level laptop for everyday use. Just one suggestion, go for 8 gb Ram...or upgrade it later.",4
"Everything is fine.
Note - need a ram (must) and ssd(optional) to work otherwise it's slow and also release heat.",4
McAfee comes with 30 days subscription so I'm very sad,4
Go for it.,5
Good,5
Nice,5
Nice,4
Osome product,5
Nice,5
Good laptop in this budget...,4
Awesome,5
"Value for Money,
Pros: No heating problem, Low cost, Light weight, looks attractive, pre installed Office home student edition, 1 year unlimited device antivirus protection.

Cons: Slow, cant run heavy processes, no gamming please.
Slow speed can be overcome to some extent by adding 8 GB Ram

re-rated to 1*
Reason - Head phone jack loose connection is not covered under warranty plus service centre lacks staff who can fix it.",1
Little bit slower but value for money,3
"Very nice performance.
Should buy....👌🏼",4
It hangs anytime....and shut down.... processer is slow,2
Slow👎,2
Nice laptop but battery not good!!,4
Laptop is very good and slower in system 😉😉😉😉🤔🤔🤔🤔🤔🤭🤭,3
Camera is worst but laptop is best for all type of use,4
Average performance. Poor battery charge. Good laptop for light work.,3
Worth for price !,5
"Everything is good.. except its hanging problem...
It hangs a lot... Sometimes its very irritating while working on it... I don't know what's wrong....",2
Good,5
Nice product,5
"It's an average product.. In this price range I would also suggest to see other alternatives..
Battery backup is less
Display is good
It lags in between
We have to increase the RAM for better performance
No slot for LAN cable
No USB slot in right of the laptop.. slots are in left side
Cursor button pad is bit stiff.",3
Best buy for this budget,4
"My use is only for drafting I use only ms office
For me it's good.",5
Ok product,3
"With this price it is better then others, look and color are really good.",4
It's great in this price (26000),5
"I m using from past 2 months, and must say this is the best laptop under 30k. Very useful for students and people working from home. I felt a problem of low display, otherwise the laptop is best in this range.",5
Best product,5
Sleeky design,5
Fully Satisfied,5
"It's good .but the battery is a bit insufficient
Very laggy .",4
Over all nice product for students not for gaming or coding,4
"BEST LAPTOP IN 25,990/-
BEST TO I3",5
Best quality,4
I m satisfied for this product,5
Good time delivery....,5
"I bought this laptop after seeing its features and thought that it is a good laptop in a low budget. But that was my mistake. Bad things: sound is very low (speakers are not that good). The system is extremely slow, it takes a very long time to start. It started to hang within 1 month (even I didn't installed any other software or game in it). The speed of system is very very slow. Even to see photographs or to transfer files in other folders it takes a lot of time. Good things: FHD, design i...",1
Superb Laptop ☺️ it is very good laptop in this budget,5
"Laptop is good. I purchase it for 29k. Battery back up is good. Sound, design and display all good. Go for it.... Best in this price. Very fast delivery from flipkart.",4
Good laptop,4
Lajawab laptop,5
Good laptop,4
Fast delivery and laptop is good quality,5
Average performance,2
Good product at this range,4
"Quite slow pc. Display is bad. Laptop material is cheap. Webcam is pathetic. Boot time is unbearable.. Will have to update the ram to make it usable for day to day task.. I regret buying this laptop... If anyone reading feedback, dont buy this laptop. Check for other budget laptops.",3
Amazing performance 👌👌👌👌,5
Ok,3
"BEWARE!!!: MS office is only trial version of 7 days. When you ask about this with seller, they directly initiate returning of laptop. Crazy way of customer support.

But the laptop is awesome. For the price it's awesome. I upgraded it with 4GB additional RAM and 3 years Kaspersky Antivirus. Now it's one rocking machine...

I actually bought 2 laptops . One for sis and another one for dad. Because i liked it so much.",4
"Design is good , battery life also not bad approx 4 hours or max (on normal working ) , performance is not really speed but in this range good",3
Ok,3
"Working for normal use...sound is not at level.
For personal use it's good.",3
Nyc product.........only office work use.....,5
"Delivered before time, thanks",5
"Very good laptop
Laptop is almost better in this price",5
"Beautiful design , perfomance bit weak but overall good for price segment. 8/10",5
The laptop is best budget laptop in range of MRP 23500. Basic use laptop for student and home use.,5
Nice,5
No long life baitry,4
"good product, worth it.",5
Good display and nice laptop under 28k.,5
Thanks,5
Good,4
Performance is poor with the low battery backup,2
good product,5
Best laptop on this price,5
Within the budget product !,4
Nice laptop but bettary and display not good,4
nice product,4
It is a very well biased laptop for 25990 INR. It got the perfect specs for the price.the built quality is not that well but can be matched for the price.,4
nice performance and design,5
Best lppy,5
value for money,3
"Hi Friends
Laptop design side and delivery side very very good
Coming to battery in lenovo laptop model worst battery
Only 30 min Charing after 💯 % completed , don't Go for this laptop 30k budget",1
It's just maximum 10bdays to bought. But it going to start to hang.. Sometimes screen become statue.. I am not going to recommend this product. Waste of money. Unfortunately I can't showing by image.,1
"Sluggish performance, not at all good display. Poor sound quality and poor camera. Even if only Chrome is open, it would not be possible to open another application quickly. Not sure how come so many people rated it so high. It has only given me more stress than any delight of buying a new product.

Flipkart accepted to pick up the product and issue refund. I think they would have repacked and sold it to someone else and because of which the other person would have also gone through the same...",2
